Protein Group Accessions;Medium/Light
Q9NZJ0;2.363
Q9NZJ0;2.363
Q9BTC0;2.363
Q9BTC0;2.363
Q9BTC0;2.363
Q9UK76;2.360
Q9UID6;2.355
Q9UID6;2.355
Q9UID6;2.355
Q9UID6;2.355
Q9UID6;2.355
P20700;2.353
Q96S55;2.343
P53367;2.332
P53367;2.332
P53367;2.332
P53367;2.332
Q92576;2.320
Q92576;2.320
Q92576;2.320
Q7Z4V5;2.315
Q7Z4V5;2.315
O43639;2.315
O43639;2.315
Q92576;2.302
Q92576;2.302
P62750;2.302
Q8TDZ2;2.301
Q8TDZ2;2.301
Q9BTC0;2.294
Q9BTC0;2.294
Q8WWN9;2.291
Q8WWN9;2.291
P16150;2.291
Q9Y2X3;2.272
Q9Y2K5;2.272
Q70CQ2;2.258
Q14493;2.249
Q14493;2.249
Q8NDI1;2.246
Q7Z3T8;2.235
P35611|P35612|Q9UEY8;2.229
Q96KR1;2.222
O95294;2.221
Q9NZJ0;2.212
Q00537;2.204
Q9H410;2.201
Q9P258;2.197
P33778|P06899|P23527|Q16778|Q6DN03|Q6DRA6;2.197
Q9BTC0;2.193
Q9BTC0;2.193
Q9BTC0;2.193
Q9BTC0;2.193
P20290|Q96K17;2.189
P20290|Q96K17;2.189
Q9BTC0;2.189
Q9UID6;2.183
Q9UID6;2.183
Q9NZJ0;2.180
Q9NZJ0;2.179
Q9NQS7;2.176
Q9H410;2.167
Q4LE39;2.166
Q4LE39;2.166
Q4LE39;2.166
P62906;2.158
Q8TDZ2;2.155
Q8TDZ2;2.155
Q8TDZ2;2.155
Q92598;2.152
Q92598;2.152
P35611|P35612|Q9UEY8;2.147
P35611|P35612|Q9UEY8;2.147
Q8NG31;2.145
Q8NG31;2.145
Q9P2M4;2.143
Q92576;2.141
Q92576;2.141
Q8NG31;2.140
Q8NG31;2.140
Q8NG31;2.140
P35611|P35612|Q9UEY8;2.139
Q9P2M4;2.131
Q9P2M4;2.131
Q9P2M4;2.131
Q07020;2.131
Q6ZU80;2.130
Q00537;2.128
Q9NRH2;2.124
Q92576;2.124
Q6P6C2;2.114
Q99961;2.106
P20700;2.106
P16150;2.099
Q6ZU80;2.094
Q00537;2.094
Q00537;2.094
O95747;2.088
Q9H2G2;2.086
P20671|Q96KK5|Q99878|P0C0S8;2.084
P20671|Q96KK5|Q99878|P0C0S8;2.084
P20671|Q96KK5|Q99878|P0C0S8;2.084
P16403;2.082
Q8TB68;2.082
Q16875;2.074
Q16875;2.074
Q14738;2.072
Q9UKA9;2.070
Q9Y2K5;2.067
P18846;2.057
Q14738;2.056
Q07352;2.041
Q93009;2.039
Q9Y2X3;2.037
Q14738;2.036
Q14738;2.036
Q8NG31;2.034
Q8NG31;2.034
Q8NG31;2.034
Q8WWN9;2.033
Q8WWN9;2.033
O75995;2.032
Q9H410;2.023
Q9H410;2.023
Q8TDZ2;2.023
Q8TDZ2;2.023
Q8TDZ2;2.023
Q16875;2.015
Q16875;2.015
Q16875;2.015
Q53QZ3;2.013
Q53QZ3;2.013
Q14738;2.007
Q14738;2.007
P16150;2.004
Q07352;1.991
Q07352;1.991
P27448;1.990
Q9HAW4;1.983
Q96KR1;1.982
O75367;1.975
Q16875;1.973
Q8NAV1;1.972
Q7Z3T8;1.970
Q96KR1;1.967
Q96KR1;1.967
Q99832;1.962
Q99832;1.962
Q07352;1.962
Q07352;1.962
Q16875;1.957
O75962;1.955
Q9HAW4;1.932
Q9HAW4;1.932
Q6P6C2;1.928
Q14738;1.924
Q01469;1.919
Q16875;1.916
Q14738;1.914
Q14738;1.914
Q53QZ3;1.912
Q53QZ3;1.912
O75995;1.911
O75995;1.911
Q8WWN9;1.910
Q8WWN9;1.910
O14974;1.909
P47736;1.904
P47736;1.904
P47736;1.904
Q6P4F7;1.903
P09543;1.884
P09543;1.884
P48651;1.879
P48651;1.872
Q9H410;1.859
Q8NG31;1.851
Q8NG31;1.851
Q14498;1.845
Q15121;1.839
Q16875;1.838
Q9BQ48;1.836
Q9UPQ3;1.832
Q96KR1;1.830
Q96KR1;1.830
Q96KR1;1.830
Q9NQS7;1.814
Q96KR1;1.805
Q96KR1;1.805
Q16875;1.805
Q16875;1.805
Q9UQ35;1.793
Q6P4F7;1.791
P35269;1.790
P16885;1.786
Q6P4F7;1.783
Q14738;1.778
Q14738;1.778
P09543;1.773
P09543;1.773
P09543;1.773
P40925;1.772
P40925;1.772
Q9NQS7;1.770
Q9NQS7;1.770
Q8NDI1;1.768
Q8NDI1;1.768
Q9BX40;1.765
Q6P4F7;1.763
Q9BX40;1.758
P35269;1.752
P35269;1.752
A2RRP1;1.747
A2RRP1;1.747
Q9ULT8;1.744
Q13765;1.744
Q9NQS7;1.741
Q9NQS7;1.741
P47736;1.738
Q9H4E7;1.735
Q6ZU80;1.733
O75962;1.733
O75962;1.733
O75962;1.733
P62244;1.725
P62244;1.725
P47736;1.723
P47736;1.723
O75962;1.720
O75962;1.720
Q8TDZ2;1.714
Q15121;1.708
Q15121;1.708
Q15121;1.708
Q15121;1.708
Q15121;1.707
A2RRP1;1.699
P40925;1.693
P40925;1.693
O75995;1.693
O75962;1.692
O75962;1.692
O75962;1.692
P15056;1.692
P15056;1.692
Q9HAW4;1.689
Q9HAW4;1.689
P15056;1.687
P40925;1.685
P40925;1.685
Q7Z5R6;1.682
P13010;1.680
P62244;1.676
P62244;1.676
P15056;1.676
P15056;1.676
P09543;1.674
Q9BX40;1.671
O75995;1.661
O75995;1.661
O75995;1.661
O75962;1.660
