Protein Group Accessions;Heavy/Light
P67809|P16989|Q9Y2T7;1.398
Q9Y4G8;1.397
Q9Y2K5;1.396
P06733;1.394
P06733;1.394
P06733;1.394
Q99961;1.393
O43639;1.390
O43639;1.390
Q14865;1.390
P30101;1.389
Q32P51|P09651|P51991;1.388
P16150;1.386
Q9Y520;1.386
Q9Y520;1.386
P13010;1.385
O75962;1.380
O75962;1.380
Q15233;1.380
Q9Y520;1.379
P16885;1.379
Q9Y520;1.377
O00148;1.377
O75962;1.376
O75962;1.376
P33778|P06899|P23527|Q16778|Q6DN03|Q6DRA6;1.375
O75962;1.375
O75962;1.375
O75962;1.374
O75962;1.374
O75962;1.374
P47756;1.373
P47756;1.373
Q5SW79;1.369
Q5SW79;1.369
Q5SW79;1.369
Q9Y520;1.369
Q9Y520;1.369
Q9Y520;1.369
O95747;1.366
O95747;1.366
O95747;1.366
P16333;1.366
P16333;1.366
Q5SW79;1.366
Q5SW79;1.366
Q5SW79;1.366
P25705;1.364
P62805;1.363
P62805;1.363
P62805;1.362
P62805;1.362
P62805;1.362
